SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,股票名称
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010010,研发费用,21201005000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010999,经营溢利,13415387000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011200,利息收入,818986000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011201,融资成本,1425157000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011997,溢利其他项目,1212652000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011999,除税前溢利,14021868000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012001,税项,164537000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012002,持续经营业务税后利润,13857331000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012999,除税后溢利,13857331000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025001,少数股东损益,1503000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025002,股东应占溢利,13855828000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027002,每股基本盈利,2.23,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027003,每股摊薄盈利,2.11,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030997,其他全面收益其他项目,367355000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030999,其他全面收益,367355000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004039999,全面收益总额,14224686000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040001,非控股权益应占全面收益总额,1503000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,14223183000.0,美团-W
03690.HK,03690,美团-W,10945642,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004099999,非运算项目,-178104050000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001001,营业额,219954948000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004001999,营运收入,219954948000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004005002,销售成本,158201969000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004007999,毛利,61752979000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010002,其他收益,4165037000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010003,销售及分销费用,39745112000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010004,行政开支,9771810000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010005,减值及拨备,468620000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010006,重估盈余,-1013057000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010010,研发费用,20739865000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004010999,经营溢利,-5820448000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011200,利息收入,657908000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011201,融资成本,1628825000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011997,溢利其他项目,35848000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004011999,除税前溢利,-6755517000.0,美团-W
03690.HK,03690,美团-W,10945642,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004012001,税项,-70194000.0,美团-W
